"PVWatts Hourly PV Performance Data"
"Requested Location","94123, USA"
"Location","Lat, Lng: 37.81, -122.42"
"Latitude (DD)","37.81"
"Longitude (DD)","-122.42"
"Elevation (m)","0"
"DC System Size (kW)","1000"
"Module Type","Premium"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"7","15","14","220","400","19","2.9","0.07","577.698","30.678","470763.988","450119.386"
"7","15","15","273","315","18","3","0.07","497.865","27.922","412484.337","393904.814"
"7","15","16","726","109","17","3.2","0.07","477.288","26.254","405545.117","387211.479"
"7","15","17","164","145","16","3.4","0.07","180.154","19.348","147200.976","138021.498"
"7","15","18","369","55","14","3.5","0.07","66.067","15.116","41633.541","36194.737"
"7","15","19","0","0","13","3.5","0.07","0","0","0","0"
"7","15","20","0","0","13","3.6","0.07","0","13","0","0"
"7","15","21","0","0","13","3.5","0.07","0","13","0","0"
"7","15","22","0","0","13","3.3","0.07","0","13","0","0"
"7","15","23","0","0","13","3.3","0.07","0","13","0","0"
"7","16","0","0","0","13","3.5","0.07","0","13","0","0"
"7","16","1","0","0","13","3.5","0.07","0","13","0","0"
"7","16","2","0","0","13","3.4","0.07","0","13","0","0"
"7","16","3","0","0","13","3.2","0.07","0","13","0","0"
"7","16","4","0","0","13","3.2","0.07","0","13","0","0"
"7","16","5","0","10","13","3.3","0.07","9.238","13.161","5388.781","1234.272"
"7","16","6","345","83","14","3.3","0.07","131.031","16.385","95128.082","87793.754"
"7","16","7","25","167","15","3.2","0.07","163.932","18.166","137167.978","128344.008"
"7","16","8","90","275","17","3","0.07","313.239","23.242","260903.939","247695.513"
"7","16","9","51","331","18","3","0.07","355.552","25.062","291864.506","277559.023"
"7","16","10","28","342","19","3.1","0.07","354.403","25.908","287853.969","273690.596"
"7","16","11","318","443","19","3.3","0.07","758.108","33.328","612189.822","586533.94"
"7","16","12","259","468","19","3.5","0.07","730.332","32.366","590303.86","565423.485"
"7","16","13","61","420","19","3.6","0.07","465.123","27.372","378163.08","360799.696"
"7","16","14","220","400","18","3.5","0.07","577.909","28.594","474598.449","453817.976"
"7","16","15","46","294","17","3.3","0.07","311.117","22.889","257493.766","244406.176"
"7","16","16","85","235","16","3.3","0.07","262.718","20.991","220644.782","208862.898"
"7","16","17","52","140","15","3.3","0.07","143.135","17.717","118798.61","110625.541"
"7","16","18","0","22","14","3.1","0.07","20.343","14.398","15726.799","11205.973"
"7","16","19","0","0","13","2.9","0.07","0","0","0","0"
"7","16","20","0","0","13","2.8","0.07","0","13","0","0"
"7","16","21","0","0","13","2.7","0.07","0","13","0","0"
"7","16","22","0","0","13","2.4","0.07","0","13","0","0"
"7","16","23","0","0","12","2.2","0.07","0","12","0","0"
"7","17","0","0","0","12","2","0.07","0","12","0","0"
"7","17","1","0","0","12","1.8","0.07","0","12","0","0"
"7","17","2","0","0","12","1.7","0.07","0","12","0","0"
"7","17","3","0","0","11","1.6","0.07","0","11","0","0"
"7","17","4","0","0","11","1.4","0.07","0","11","0","0"
"7","17","5","163","28","13","1","0.07","21.386","13.582","12464.841","8059.6"
"7","17","6","525","71","14","0.6","0.07","150.62","18.743","103280.512","95657.31"
"7","17","7","720","88","16","0.4","0.07","369.021","29.04","299255.359","284687.989"
"7","17","8","810","101","18","0.5","0.07","591.165","38.441","480764.024","459765.081"
